id,lang,label,HuggingFaceTB/SmolLM3-3B,microsoft/Phi-3.5-mini-instruct,tiiuae/Falcon3-3B-Instruct,Qwen/Qwen2.5-Omni-7B,google/gemma-3n-E4B-it,meta-llama/Llama-3.1-8B-Instruct,Qwen/Qwen2.5-7B-Instruct
en_1021,en,0,0,0,1,0,0,0,0
en_1496,en,0,0,0,1,0,0,0,0
en_1312,en,1,1,1,0,1,1,0,1
en_469,en,0,0,0,1,1,0,0,0
en_565,en,0,0,1,1,1,0,0,0
en_1610,en,0,0,0,0,0,0,0,0
en_1189,en,0,0,0,0,0,0,0,0
en_181,en,0,0,0,0,0,0,0,0
en_585,en,0,0,0,1,0,0,0,0
en_845,en,0,0,0,0,0,0,0,0
en_1048,en,0,1,0,1,0,1,0,1
en_370,en,0,0,0,1,1,0,0,1
en_1063,en,0,0,0,1,0,0,0,0
en_1060,en,0,0,1,1,0,0,0,1
en_999,en,0,0,0,0,0,0,0,0
en_501,en,0,0,0,1,0,0,0,0
en_1034,en,0,0,0,1,0,0,0,0
en_641,en,0,0,0,0,0,0,0,0
en_1328,en,0,0,0,1,0,0,0,0
en_724,en,0,0,0,0,0,0,0,0
en_1753,en,0,1,1,1,1,1,0,0
en_723,en,0,0,0,0,0,0,0,0
en_468,en,0,1,1,1,0,0,0,1
en_1431,en,0,0,0,1,0,0,0,0
en_1396,en,0,0,0,0,0,0,0,0
en_1476,en,0,0,0,1,0,0,0,0
en_1414,en,0,0,0,1,0,0,0,0
en_260,en,0,0,0,1,0,0,0,1
en_943,en,0,0,0,1,1,1,0,1
en_1108,en,1,0,1,1,1,1,1,1
en_513,en,0,0,0,0,0,0,0,0
en_1179,en,0,1,0,1,1,1,0,0
en_654,en,0,0,0,1,0,0,0,0
en_813,en,0,0,0,0,0,0,0,0
en_1248,en,0,0,0,1,0,0,0,0
en_1089,en,0,0,0,0,0,0,0,0
en_547,en,0,1,1,1,1,1,1,1
en_1365,en,0,0,0,0,0,0,0,0
en_1849,en,0,0,0,0,0,0,0,0
en_1284,en,0,0,0,1,0,0,0,0
en_1342,en,0,0,0,1,0,0,0,0
en_1782,en,0,0,0,0,0,0,0,0
en_443,en,0,0,0,0,0,0,0,0
en_932,en,0,0,0,0,0,0,0,0
en_836,en,0,0,0,0,0,0,0,0
en_701,en,0,0,0,0,0,0,0,0
en_1798,en,0,0,1,0,0,1,0,0
en_1352,en,0,1,0,1,1,1,0,1
en_135,en,0,0,0,0,0,0,0,0
en_831,en,0,0,0,1,0,0,0,0
en_581,en,0,0,0,1,0,0,0,0
en_1641,en,0,0,0,0,0,0,0,0
en_1399,en,0,0,0,0,0,0,0,0
en_1839,en,0,0,0,0,0,0,0,0
en_1017,en,0,1,0,1,1,0,0,0
en_1864,en,0,0,0,0,0,0,0,0
en_213,en,0,0,0,1,0,0,0,0
en_1330,en,0,0,0,1,0,0,0,0
en_807,en,0,0,0,0,0,0,0,0
en_1043,en,0,0,0,0,0,0,0,0
en_1664,en,0,0,0,0,0,0,0,0
en_1187,en,1,1,1,1,1,1,1,1
en_1227,en,0,0,0,0,0,0,0,0
en_1266,en,0,0,0,1,1,1,0,0
en_1647,en,0,0,0,1,0,0,0,0
en_1355,en,0,0,0,0,0,0,0,0
en_1620,en,0,0,0,1,0,0,0,0
en_1011,en,0,0,0,0,0,1,0,0
en_248,en,0,0,0,0,0,0,0,0
en_766,en,1,1,1,1,1,0,0,1
en_1732,en,0,0,0,0,0,0,0,0
en_239,en,0,0,0,1,0,0,0,0
en_956,en,1,0,0,1,0,0,0,0
en_1488,en,0,0,0,0,0,0,0,0
en_830,en,0,0,0,1,0,1,0,0
en_456,en,0,0,0,1,0,0,0,0
en_975,en,0,0,1,1,0,0,0,0
en_352,en,0,0,0,1,0,0,0,0
en_1250,en,1,1,1,1,1,1,1,1
en_1630,en,0,0,0,1,0,0,0,0
en_1702,en,0,1,1,1,1,1,0,1
en_572,en,0,0,0,1,1,0,0,0
en_1209,en,0,0,0,1,0,0,0,0
en_1257,en,0,0,0,1,0,0,0,0
en_1153,en,0,0,0,0,0,0,0,0
en_286,en,1,1,1,1,1,1,1,1
en_998,en,0,0,0,0,0,0,0,0
en_1315,en,0,0,0,0,0,0,0,0
en_1045,en,0,0,0,1,0,0,0,0
en_795,en,0,0,0,1,0,0,0,0
en_518,en,0,0,0,1,0,0,0,0
en_1842,en,0,1,1,1,1,1,1,1
en_1158,en,0,0,0,0,0,0,0,0
en_1797,en,0,0,0,0,0,0,0,0
en_1770,en,0,0,0,0,0,0,0,0
en_534,en,0,0,0,1,0,0,0,0
en_342,en,0,0,0,0,0,0,0,0
en_712,en,0,0,0,1,1,1,0,1
en_969,en,0,0,0,0,0,0,0,0
en_237,en,0,0,0,1,0,0,0,0
en_1220,en,0,0,0,1,0,0,0,0
en_406,en,0,0,0,1,0,0,0,0
en_1784,en,0,0,0,0,0,0,0,0
en_344,en,0,0,0,1,0,0,0,0
en_268,en,0,0,0,1,0,0,0,0
en_1555,en,0,0,0,0,0,0,0,0
en_1539,en,1,0,0,0,0,0,0,0
en_1800,en,0,0,0,0,0,0,0,0
en_783,en,0,1,0,1,1,0,0,1
en_455,en,0,0,0,0,0,0,0,0
en_994,en,0,0,0,1,0,0,0,0
en_142,en,0,0,0,1,0,1,0,1
en_348,en,0,0,0,1,0,0,0,0
en_1242,en,0,0,0,1,1,1,1,0
en_865,en,0,0,0,1,0,0,0,1
en_1104,en,0,0,0,0,1,1,0,0
en_922,en,0,0,0,1,0,1,0,1
en_1777,en,0,0,0,1,0,0,0,0
en_358,en,0,1,0,1,0,0,0,0
en_828,en,0,0,0,1,0,0,0,0
en_1600,en,0,0,0,1,0,0,0,0
en_1591,en,1,0,0,1,0,0,0,0
en_1263,en,0,0,0,0,0,0,0,0
en_318,en,0,1,0,1,1,1,0,0
en_150,en,0,1,0,1,0,1,0,0
en_698,en,0,0,0,0,0,0,0,0
en_1313,en,0,0,0,1,0,0,0,0
en_903,en,0,0,0,1,0,0,0,0
en_1724,en,0,0,0,0,0,0,0,0
en_859,en,1,0,1,0,1,0,0,1
en_140,en,0,0,0,0,0,0,0,0
en_778,en,0,0,0,1,0,0,0,0
en_1385,en,0,0,0,0,0,0,0,0
en_1845,en,0,0,0,1,0,0,0,0
en_691,en,0,0,0,1,0,0,0,0
en_1435,en,0,0,0,0,0,0,0,0
en_1470,en,0,1,0,1,1,1,0,0
en_1400,en,0,1,0,1,1,1,1,0
en_1367,en,0,1,1,1,1,1,0,1
en_1008,en,0,0,0,0,0,0,0,0
en_308,en,0,0,0,1,0,0,0,0
en_905,en,1,0,1,1,0,0,0,0
en_193,en,0,1,1,0,0,1,0,1
en_1156,en,0,0,0,1,0,0,0,0
en_1861,en,0,0,0,1,0,1,0,1
en_1100,en,1,1,1,1,1,1,1,1
en_411,en,0,0,0,1,1,1,0,1
en_516,en,0,0,0,1,0,0,0,0
en_1010,en,0,0,0,0,0,0,0,0
en_1258,en,0,0,0,0,0,0,0,0
en_1612,en,0,0,0,0,0,0,0,0
en_961,en,0,0,0,1,0,0,0,0
en_632,en,0,1,1,0,0,1,0,1
en_629,en,0,0,0,0,0,0,0,0
en_492,en,0,0,0,0,0,0,0,0
en_1690,en,0,0,1,1,0,0,0,0
en_719,en,1,1,0,0,0,0,0,0
en_1672,en,1,1,1,1,1,1,1,1
en_1091,en,1,1,1,1,1,1,0,1
en_1840,en,0,1,1,1,1,1,1,1
en_1345,en,0,0,0,1,0,1,0,0
en_1128,en,0,0,0,0,0,0,0,0
en_1329,en,0,0,0,0,0,0,0,0
en_1377,en,0,0,1,1,1,0,0,1
en_392,en,1,1,1,1,1,1,1,1
en_1259,en,0,0,0,0,0,0,0,0
en_1188,en,0,0,0,1,0,0,0,0
en_941,en,0,0,0,1,0,0,0,0
en_661,en,0,0,0,0,0,0,0,0
