id,text,label
es_822,"No entiendo porque hay tanta feminista transexcluyente revisando todo lo que las personas trans hacemos, si les molesta tanto nuestra existencia, por qué no dejan de seguirnos?
#maricaya #trans #orgullotrans #furiatrans",1
es_2006,"NO + HOMOFOBIA. Eso es súper 2010 po retrograda. Es mal visto oka? 🏳️‍🌈💪🏼💙
A mi me han dicho #maricon #maraco #fletoculiao #masencimaweco 🥴🤣 
.
#nomashomofobia2020 #nomasomofobia #homophobia #gays #lgtbi #guysgays #latinoamerica #loveislove #pride URL",1
es_527,"Sí. El @USER es tan promotor del #OrgulloLGTBI en Madrid que maricas y bolleras estuvimos 7 años con la espada de Damocles del recurso en el TC del #matrimonioigualitario. Qué vergüenza de declaraciones, @USER URL",1
es_1826,"A ver para cuándo una buena representación #LGTBI en la cultura. En las series y películas más mainstream.y Para este #OrgulloLGTBI quiero visibilidad trans, no binaria y ace. Queremos personajes queer racializades y con diversidad funcional. TODES necesitamos referentes. URL",1
es_2095,"¿Eres marica? Hablamos sobre chisos, gays, mamasitos, lesbianas, marimachas, travestis, transexuales... pero, sobre todo, sobre derechos y memoria. ¿Listas, listos, listes, listxs? Entra a URL

#LGTBIQ #Derechos #Igualdad URL",1
es_169,"Me preocupa seriamente que una asociación LGTBIQ+use el término “queer” como algo negativo.
Leer “no es una ley queer” para referirse a la Ley Trans y LGTBIQ+ de quien se supone que nos protege me deja helado.
Por mi parte, orgullosísimo de ser un peazo maric0n y queer.",1
es_256,"Cuando leo acá en #Twitter unas mariks  atacando a las otras por lo del beso, me pregunto: todo bien en casita? En que comunidad vivimos? Suficiente con la discriminación que viene de fuera dando palo
#masmaricaelquenoama #OrgulloLGTBI #masamormenosodio 
#31dejulio #nohomofobia URL",1
es_1801,"#DíaDelOrgullo LGTBI+🏳️‍🌈 Otro recomendado: ‘Maricones eminentes’, de Jaime Manrique. Obra que relata momentos de la vida privada y literaria de tres escritores hispanos y que reflexiona sobre lo que significa ser y vivir como homosexual en Hispanoamérica. URL",1
es_567,Toma ya con to mi papo xD somos tan #Travestis y #Mariconas qué damos tan duro jjjajajaj qué os quedáis sin palabras stop #Transfobia espero qué no lo hagan porqué gracias a dios dio con una persona no binaria pero a personas trans estás cosas les pueden hacer mucho daño. URL,1
es_231,"@USER A mi como marica las personas trans nunca me han “instado” convertirme en heterosexual. Si que lo han hecho, sin embargo, las estructuras heteronormativas. Basta de #transfobia",1
es_469,"Por todos los que han sido humillados desde la infancia.
Agredidos o asesinados, al grito de maricón.
A los que no quieren que seamos familia.
A los que reivindican ""terapias de conversión"" 
A los que no quieren que se exhiba la bandera LGTBI.
Visibilicemos más el #OrgulloLGTBI URL",0
es_465,Primero un dia y ahora un mes. Al final el dia de los maricas sera dia no laborable #OrgulloLGTBI,0
es_1754,"Entonces dejemonos de maricadas, que la heterosexualidad es aceptada por todo el mundo y nunca ha tenido que enfrentar algo cómo lo anterior. No existe el #OrgulloHetero, porque nunca ha existido una lucha por ello. 

#DiadelorgulloLGTBI #OrgulloLGTBI #Pride Y que viva el amor.",0
es_947,"🌈PODCAST LA HIJA DEL JEFE🦄 @USER lo está petando con 'Maricón Perdido' de TNT y con 'Mansos', de @USER En @USER le hemos entrevistado y hemos tratado la Ley Trans, la LGTBIfobia y mucho más!
URL",0
es_992,"He aquí la razón por la cual se debe de seguir festejando un #DiaDelOrgullo 🏳️‍🌈
""A Samuel lo han matado a palos al grito de maricón de mierda""... #JusticiaPorSamuel URL",0
es_1339,@USER porque somos gais 💚💙#OrgulloLGTBI #mariconesonpersonas,0
es_449,"Hoy es un buen día para recordar a todo el mundo que el término paraguas no es ""gay"", sino ""queer"" #OrgulloLGTBI #Orgullo 

Today's a good day to remind you all that the umbrella term is not ""gay"". It's ""queer"" #pride #Pride2022",0
es_981,"Y esto es un claro ejemplo de homofobia. 🤦🏻 estoy hasta más arriba de donde sea de tener que ser gay en el ámbito privado. Lo siento, lo seré donde me salga de los mismos. Os guste o no. Es vuestro problema. #LGTB #Maricon URL",0
es_802,"Mi reconocimiento a todas las asociaciones #LGTBIQ, sobre todo las de mi región, que trabajan ayudando a personas y familias en igualdad y defensa de sus derechos y por una sociedad más igualitaria @USER @USER @USER @USER @USER",0
es_2056,"🌈📣 Hoy nos montamos un Orgullo #LGTBIQ sin salir de casa. Un montón de materiales referentes del colectivo, prescritos por las personas más involucradas en la igualdad. #Queerantine en @USER! URL",0
